"year","state","month","number","date"
1998,"AC","JAN",0,1998-01-01
1999,"AC","JAN",0,1999-01-01
2000,"AC","JAN",0,2000-01-01
2001,"AC","JAN",0,2001-01-01
2002,"AC","JAN",0,2002-01-01
2003,"AC","JAN",14,2003-01-01
2004,"AC","JAN",0,2004-01-01
2005,"AC","JAN",20,2005-01-01
2006,"AC","JAN",7,2006-01-01
2007,"AC","JAN",1,2007-01-01
2008,"AC","JAN",0,2008-01-01
2009,"AC","JAN",0,2009-01-01
2010,"AC","JAN",1,2010-01-01
2011,"AC","JAN",2,2011-01-01
2012,"AC","JAN",1,2012-01-01
2013,"AC","JAN",0,2013-01-01
2014,"AC","JAN",0,2014-01-01
2015,"AC","JAN",3,2015-01-01
2016,"AC","JAN",13,2016-01-01
2017,"AC","JAN",0,2017-01-01
2018,"AC","JAN",0,2018-01-01
2019,"AC","JAN",1,2019-01-01
2020,"AC","JAN",16,2020-01-01
1998,"AL","JAN",0,1998-01-01
1999,"AL","JAN",58,1999-01-01
2000,"AL","JAN",11,2000-01-01
2001,"AL","JAN",5,2001-01-01
2002,"AL","JAN",12,2002-01-01
2003,"AL","JAN",147,2003-01-01
2004,"AL","JAN",13,2004-01-01
2005,"AL","JAN",91,2005-01-01
2006,"AL","JAN",36,2006-01-01
2007,"AL","JAN",33,2007-01-01
2008,"AL","JAN",52,2008-01-01
2009,"AL","JAN",112,2009-01-01
2010,"AL","JAN",32,2010-01-01
2011,"AL","JAN",45,2011-01-01
2012,"AL","JAN",43,2012-01-01
2013,"AL","JAN",45,2013-01-01
2014,"AL","JAN",49,2014-01-01
2015,"AL","JAN",64,2015-01-01
2016,"AL","JAN",22,2016-01-01
2017,"AL","JAN",38,2017-01-01
2018,"AL","JAN",17,2018-01-01
2019,"AL","JAN",32,2019-01-01
2020,"AL","JAN",45,2020-01-01
1998,"AP","JAN",0,1998-01-01
1999,"AP","JAN",0,1999-01-01
2000,"AP","JAN",2,2000-01-01
2001,"AP","JAN",0,2001-01-01
2002,"AP","JAN",7,2002-01-01
2003,"AP","JAN",35,2003-01-01
2004,"AP","JAN",58,2004-01-01
2005,"AP","JAN",194,2005-01-01
2006,"AP","JAN",10,2006-01-01
2007,"AP","JAN",12,2007-01-01
2008,"AP","JAN",4,2008-01-01
2009,"AP","JAN",8,2009-01-01
2010,"AP","JAN",4,2010-01-01
2011,"AP","JAN",0,2011-01-01
2012,"AP","JAN",34,2012-01-01
2013,"AP","JAN",2,2013-01-01
2014,"AP","JAN",25,2014-01-01
2015,"AP","JAN",27,2015-01-01
2016,"AP","JAN",16,2016-01-01
2017,"AP","JAN",2,2017-01-01
2018,"AP","JAN",14,2018-01-01
2019,"AP","JAN",4,2019-01-01
2020,"AP","JAN",2,2020-01-01
1998,"AM","JAN",0,1998-01-01
1999,"AM","JAN",3,1999-01-01
2000,"AM","JAN",7,2000-01-01
2001,"AM","JAN",3,2001-01-01
2002,"AM","JAN",17,2002-01-01
2003,"AM","JAN",379,2003-01-01
2004,"AM","JAN",277,2004-01-01
2005,"AM","JAN",225,2005-01-01
2006,"AM","JAN",79,2006-01-01
2007,"AM","JAN",106,2007-01-01
2008,"AM","JAN",45,2008-01-01
2009,"AM","JAN",34,2009-01-01
2010,"AM","JAN",93,2010-01-01
2011,"AM","JAN",59,2011-01-01
2012,"AM","JAN",8,2012-01-01
2013,"AM","JAN",43,2013-01-01
2014,"AM","JAN",71,2014-01-01
2015,"AM","JAN",38,2015-01-01
2016,"AM","JAN",654,2016-01-01
